pk,address,city,state,zip_code,unit_number,sq_ft,bedrooms,baths,property,building
1,10464 S. Jordan Gateway,South Jordan,UT,84095,100,770,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
2,10464 S. Jordan Gateway,South Jordan,UT,84095,101,844,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
3,10464 S. Jordan Gateway,South Jordan,UT,84095,102,747,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
4,10464 S. Jordan Gateway,South Jordan,UT,84095,103,764,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
5,10464 S. Jordan Gateway,South Jordan,UT,84095,104,738,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
6,10464 S. Jordan Gateway,South Jordan,UT,84095,105,746,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
7,10464 S. Jordan Gateway,South Jordan,UT,84095,106,741,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
8,10464 S. Jordan Gateway,South Jordan,UT,84095,107,793,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
9,10464 S. Jordan Gateway,South Jordan,UT,84095,108,706,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
10,10464 S. Jordan Gateway,South Jordan,UT,84095,109,754,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
11,10464 S. Jordan Gateway,South Jordan,UT,84095,110,834,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
12,10464 S. Jordan Gateway,South Jordan,UT,84095,111,851,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
13,10464 S. Jordan Gateway,South Jordan,UT,84095,112,877,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
14,10464 S. Jordan Gateway,South Jordan,UT,84095,113,728,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
15,10464 S. Jordan Gateway,South Jordan,UT,84095,114,761,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
16,10464 S. Jordan Gateway,South Jordan,UT,84095,115,793,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
17,10464 S. Jordan Gateway,South Jordan,UT,84095,116,717,1,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
18,10464 S. Jordan Gateway,South Jordan,UT,84095,117,774,2,1,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
19,10464 S. Jordan Gateway,South Jordan,UT,84095,118,834,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
20,10464 S. Jordan Gateway,South Jordan,UT,84095,119,804,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
21,10464 S. Jordan Gateway,South Jordan,UT,84095,120,800,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
22,10464 S. Jordan Gateway,South Jordan,UT,84095,121,812,1,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
23,10464 S. Jordan Gateway,South Jordan,UT,84095,122,748,2,2,http://gmc.localhost:8000/api/properties/1/,http://gmc.localhost:8000/api/buildings/1/
